P1	Wed Feb 26 13:40:34 2020																								
Replication	Start Time	End Time																							
1	6	66																							
2	72	132																							
3	138	198																							
4	204	264																							
5	270	330																							
6	336	396																							
7	402	462																							
8	468	528																							
9	534	594																							
10	600	660																							
																									
Title	Units	Rep	Min	Max	Mean	Standard Deviation	Sum	Sum of Squares	Count	Lower Limit	Upper Limit	Interval	Int. Min	Int. Max	Int. Mean	Int. Std Dev	Int. Sum	Int. Sum of Squares	Int. Count	Int. Lower Limit	Int. Upper Limit				Intervalo de confianza
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	1	0.083131464	1.8795654	0.417245337	0.343920197	15.8553228	11.1102414	38																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	2	0.09500768	1.963011444	0.502958379	0.474936564	13.0769179	12.4418287	26																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	3	0.096257808	0.7778901	0.377063385	0.206863365	10.1807114	4.994169713	27																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	4	0.083443996	2.026142908	0.48796652	0.417563097	15.6149287	13.1990485	32																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	5	0.083131464	1.292942836	0.509669838	0.329093916	15.799765	11.4100506	31																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	6	0.095320212	1.736738276	0.519521987	0.441266135	14.0270936	12.5447102	27																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	7	0.087819444	0.823519772	0.362271887	0.203726363	6.883165856	3.282161669	19																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	8	0.165014848	0.575369364	0.307019519	0.102250854	5.833370868	1.989608228	19																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	9	0.09969566	0.826957624	0.366225686	0.211602412	6.225836665	3.041246176	17																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	10	0.096882872	1.163621347	0.473607871	0.294902516	13.2610204	8.715613458	28																
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	0	0.307019519	0.519521987	0.432355041	0.075743809	4.32355041	1.920942937	10	0.388447855	0.476262227														
Message Delay from CPDLondres (RespLondres) to ECHO	seconds	-1	0.083131464	2.026142908	0.442265656	0.343172401	116.75813	82.7286786	264																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	1	0.083131464	1.8795654	0.417245337	0.343920197	15.8553228	11.1102414	38																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	2	0.09500768	1.963011444	0.502958379	0.474936564	13.0769179	12.4418287	26																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	3	0.096257808	0.7778901	0.377063385	0.206863365	10.1807114	4.994169713	27																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	4	0.083443996	2.026142908	0.48796652	0.417563097	15.6149287	13.1990485	32																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	5	0.083131464	1.292942836	0.509669838	0.329093916	15.799765	11.4100506	31																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	6	0.095320212	1.736738276	0.519521987	0.441266135	14.0270936	12.5447102	27																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	7	0.087819444	0.823519772	0.362271887	0.203726363	6.883165856	3.282161669	19																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	8	0.165014848	0.575369364	0.307019519	0.102250854	5.833370868	1.989608228	19																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	9	0.09969566	0.826957624	0.366225686	0.211602412	6.225836665	3.041246176	17																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	10	0.096882872	1.163621347	0.473607871	0.294902516	13.2610204	8.715613458	28																
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	0	0.307019519	0.519521987	0.432355041	0.075743809	4.32355041	1.920942937	10	0.388447855	0.476262227														
Message Delivery from CPDLondres (RespLondres) to ECHO	seconds	-1	0.083131464	2.026142908	0.442265656	0.343172401	116.75813	82.7286786	264																
MsgDublin Delay from Dublin	seconds	1	0.053441948	1.807059	0.352113835	0.417470225	5.985935202	5.070514217	17																
MsgDublin Delay from Dublin	seconds	2	0.02250128	1.890505044	0.460209446	0.546340471	7.82356058	8.674770949	17																
MsgDublin Delay from Dublin	seconds	3	0.048128904	0.7053837	0.3204011	0.215214323	3.5244121	1.638714766	11																
MsgDublin Delay from Dublin	seconds	4	0.013437852	1.093235912	0.244085708	0.336232336	2.684942788	1.898930185	11																
MsgDublin Delay from Dublin	seconds	5	0.010625064	0.981077522	0.44133474	0.305818879	7.06135584	4.612824634	16																
MsgDublin Delay from Dublin	seconds	6	0.022813812	1.182307532	0.46048742	0.41745562	5.525849041	4.635814302	12																
MsgDublin Delay from Dublin	seconds	7	0.032814836	0.54286706	0.280006813	0.173595082	4.200102188	1.628086011	15																
MsgDublin Delay from Dublin	seconds	8	0.102509472	0.322219468	0.220472939	0.066690601	1.984256452	0.477503578	9																
MsgDublin Delay from Dublin	seconds	9	0.045937385	0.754451224	0.293246297	0.218333602	2.932462965	1.33662952	10																
MsgDublin Delay from Dublin	seconds	10	0.094696172	1.091114947	0.496791334	0.29338978	7.451870004	4.993187882	15																
MsgDublin Delay from Dublin	seconds	0	0.220472939	0.496791334	0.356914963	0.100421802	3.569149631	1.364643753	10	0.298702434	0.415127492														
MsgDublin Delay from Dublin	seconds	-1	0.010625064	1.890505044	0.369734941	0.35525437	49.1747472	34.966976	133																
Message Delivery from Dublin	seconds	1	0.053441948	1.807059	0.352113835	0.417470225	5.985935202	5.070514217	17																
Message Delivery from Dublin	seconds	2	0.02250128	1.890505044	0.460209446	0.546340471	7.82356058	8.674770949	17																
Message Delivery from Dublin	seconds	3	0.048128904	0.7053837	0.3204011	0.215214323	3.5244121	1.638714766	11																
Message Delivery from Dublin	seconds	4	0.013437852	1.093235912	0.244085708	0.336232336	2.684942788	1.898930185	11																
Message Delivery from Dublin	seconds	5	0.010625064	0.981077522	0.44133474	0.305818879	7.06135584	4.612824634	16																
Message Delivery from Dublin	seconds	6	0.022813812	1.182307532	0.46048742	0.41745562	5.525849041	4.635814302	12																
Message Delivery from Dublin	seconds	7	0.032814836	0.54286706	0.280006813	0.173595082	4.200102188	1.628086011	15																
Message Delivery from Dublin	seconds	8	0.102509472	0.322219468	0.220472939	0.066690601	1.984256452	0.477503578	9																
Message Delivery from Dublin	seconds	9	0.045937385	0.754451224	0.293246297	0.218333602	2.932462965	1.33662952	10																
Message Delivery from Dublin	seconds	10	0.094696172	1.091114947	0.496791334	0.29338978	7.451870004	4.993187882	15																
Message Delivery from Dublin	seconds	0	0.220472939	0.496791334	0.356914963	0.100421802	3.569149631	1.364643753	10	0.298702434	0.415127492														
Message Delivery from Dublin	seconds	-1	0.010625064	1.890505044	0.369734941	0.35525437	49.1747472	34.966976	133																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	1	0.053441948	1.807059	0.352113835	0.417470225	5.985935202	5.070514217	17																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	2	0.02250128	1.890505044	0.460209446	0.546340471	7.82356058	8.674770949	17																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	3	0.048128904	0.7053837	0.3204011	0.215214323	3.5244121	1.638714766	11																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	4	0.013437852	1.093235912	0.244085708	0.336232336	2.684942788	1.898930185	11																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	5	0.010625064	0.981077522	0.44133474	0.305818879	7.06135584	4.612824634	16																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	6	0.022813812	1.182307532	0.46048742	0.41745562	5.525849041	4.635814302	12																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	7	0.032814836	0.54286706	0.280006813	0.173595082	4.200102188	1.628086011	15																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	8	0.102509472	0.322219468	0.220472939	0.066690601	1.984256452	0.477503578	9																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	9	0.045937385	0.754451224	0.293246297	0.218333602	2.932462965	1.33662952	10																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	10	0.094696172	1.091114947	0.496791334	0.29338978	7.451870004	4.993187882	15																
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	0	0.220472939	0.496791334	0.356914963	0.100421802	3.569149631	1.364643753	10	0.298702434	0.415127492														
Message Delay from Dublin (MsgDublin) to CPDLondres	seconds	-1	0.010625064	1.890505044	0.369734941	0.35525437	49.1747472	34.966976	133																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	1	0.053441948	1.807059	0.352113835	0.417470225	5.985935202	5.070514217	17																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	2	0.02250128	1.890505044	0.460209446	0.546340471	7.82356058	8.674770949	17																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	3	0.048128904	0.7053837	0.3204011	0.215214323	3.5244121	1.638714766	11																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	4	0.013437852	1.093235912	0.244085708	0.336232336	2.684942788	1.898930185	11																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	5	0.010625064	0.981077522	0.44133474	0.305818879	7.06135584	4.612824634	16																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	6	0.022813812	1.182307532	0.46048742	0.41745562	5.525849041	4.635814302	12																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	7	0.032814836	0.54286706	0.280006813	0.173595082	4.200102188	1.628086011	15																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	8	0.102509472	0.322219468	0.220472939	0.066690601	1.984256452	0.477503578	9																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	9	0.045937385	0.754451224	0.293246297	0.218333602	2.932462965	1.33662952	10																
Message Delivery from Dublin (MsgDublin) to CPDLondres	seconds	10	0.094696172	1.091114947	0.496791334	0.29338978	7.451870004	4.993187882	15																
